License_Number,License_State,License_Type,License_Status,Issue_Date,Expiration_Date,Days_Until_Expiration,Renewal_Cycle_Months,Provider_ID,Provider_NPI,Provider_First_Name,Provider_Last_Name,Provider_Email,Provider_Specialty,Provider_Role,Total_CME_Hours_Required,CME_Renewal_Period_Months,Min_Category1_Hours,Max_Category2_Hours,Opioid_Hours_Required,Pain_Management_Hours_Required,Ethics_Hours_Required,Other_Special_Topics,Compliance_Status,Total_Hours_Required,Total_Hours_Completed,Completion_Percentage,State_Code,Board_Type,Rollover_Allowed,Max_Rollover_Hours
AKDO86128,AK,DO,active,1/24/2022,7/17/2026,240,24,ee421a02-2db1-4d9e-a25c-ce69e1f021d4,4165621560,Katelyn,Luna,prov.do21@example.com,Urology,provider,50,24,50,,0,2,0,,No Data,0,0,0.00%,AK,COMBINED,Yes,25
DO256211,AK,DO,inactive,11/18/2022,8/5/2028,990,24,f48a91c5-98fa-4545-abd9-1a118d520732,8249656514,Christopher,Wagner,prov.do11@example.com,Neurology,provider,50,24,50,,0,2,0,,No Data,0,0,0.00%,AK,COMBINED,Yes,25
DO491186,AK,DO,active,4/30/2022,3/8/2028,840,24,a6e74de8-bb66-49cd-bd25-5c4d6204e7ce,3959395314,Travis,Warren,prov.do13@example.com,Radiology,provider,50,24,50,,0,2,0,,No Data,0,0,0.00%,AK,COMBINED,Yes,25
DO577761,AK,DO,active,4/27/2022,6/6/2028,930,24,9b323a4b-7dba-473c-a06b-ae4f422f519b,9267002610,Brian,Valenzuela,prov.do8@example.com,Radiology,provider,50,24,50,,0,2,0,,No Data,0,0,0.00%,AK,COMBINED,Yes,25
DO686237,AK,DO,active,7/29/2021,9/15/2026,300,24,8495a3ca-7b4e-40f1-857e-f1f031bae25c,2878302583,Mary,Williams,prov.do26@example.com,Ophthalmology,provider,50,24,50,,0,2,0,,No Data,0,0,0.00%,AK,COMBINED,Yes,25
MD376062,AK,MD,active,4/21/2022,11/14/2026,360,24,cf744110-c233-4708-8fac-f827cbcd3ea2,7700207593,John,Adams,prov.md10@example.com,Cardiology,provider,50,24,50,,0,2,0,,No Data,0,0,0.00%,AK,COMBINED,Yes,25
MD541616,AK,MD,active,2/7/2021,1/8/2028,780,24,e940214d-542a-4f06-bf6e-0c55250cb610,1259369420,Jonathan,Taylor,prov.md40@example.com,Gastroenterology,provider,50,24,50,,0,2,0,,No Data,0,0,0.00%,AK,COMBINED,Yes,25
MD689994,AK,MD,active,11/6/2021,3/19/2026,120,24,55e1600c-cc6c-4b23-9808-621d9007f957,4925985880,Kyle,Anderson,prov.md3@example.com,Family Medicine,provider,50,24,50,,0,2,0,,No Data,0,0,0.00%,AK,COMBINED,Yes,25
MD919043,AK,MD,active,11/8/2021,2/17/2026,90,24,2efe963a-1747-441f-89a6-746cb2d1bf33,8778511591,Maureen,Baker,prov.md18@example.com,Anesthesiology,provider,50,24,50,,0,2,0,,No Data,0,0,0.00%,AK,COMBINED,Yes,25
MD985869,AK,MD,suspended,12/28/2021,5/7/2028,900,24,c2c8ad8f-f8fe-4279-97f0-1296de7d5601,9369812830,Ashley,Moody,prov.md2@example.com,Dermatology,provider,50,24,50,,0,2,0,,No Data,0,0,0.00%,AK,COMBINED,Yes,25
AL-DO-205986,AL,DO,expired,6/28/2020,5/13/2027,540,12,30462ac3-fe6f-4f41-b820-a5c164976bc9,1607881441,Thomas,Turner,prov.do47@example.com,Dermatology,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,No Data,0,0,0.00%,AL,MEDICAL,No,
AL-DO-355551,AL,DO,expired,8/16/2023,1/24/2025,-299,24,8550d76c-af71-4c96-b4ab-fcab0379cb33,,Dawn,Swanson,provider.do24@example.com,Internal Medicine,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,Compliant,25,27,108.00%,AL,MEDICAL,No,
AL-MD-120536,AL,MD,expired,4/14/2021,8/19/2022,-1188,24,c3812073-e1de-48dc-bc3e-1d6705fb573e,,Grace,Quinn,provider.md22@example.com,Radiology,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,At Risk,25,6,24.00%,AL,MEDICAL,No,
AL-MD-155370,AL,MD,expired,2/11/2021,5/24/2022,-1275,24,0339945f-94c6-4134-82a0-bd121818564c,,Melinda,Skinner,provider.md23@example.com,Surgery,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,On Track,25,19,76.00%,AL,MEDICAL,No,
AL-MD-201616,AL,MD,active,12/31/2021,3/14/2027,480,12,1b95c543-bae1-4ae6-b55d-58a2daeafb54,4548152315,Erica,Brown,prov.md20@example.com,Pediatrics,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,No Data,0,0,0.00%,AL,MEDICAL,No,
AL-MD-337446,AL,MD,expired,7/18/2021,9/10/2022,-1166,12,b03174b8-8dab-41c2-853c-b95e60a05bd9,,Sarah,Williams,provider.md6@example.com,Psychiatry,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,On Track,25,24,96.00%,AL,MEDICAL,No,
AL-MD-391633,AL,MD,expired,9/8/2021,5/15/2023,-919,12,97709ada-2692-49a4-9857-d979d523d9d9,,Linda,Acosta,provider.md5@example.com,Family Medicine,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,Compliant,25,35,140.00%,AL,MEDICAL,No,
AL-MD-419652,AL,MD,expired,11/9/2023,5/13/2027,540,12,2efe963a-1747-441f-89a6-746cb2d1bf33,8778511591,Maureen,Baker,prov.md18@example.com,Anesthesiology,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,No Data,0,0,0.00%,AL,MEDICAL,No,
AL-MD-430211,AL,MD,expired,5/19/2023,12/3/2024,-351,12,794d3945-fca1-4b00-8f7d-f2e740dfb469,,Dawn,Donovan,provider.md21@example.com,Internal Medicine,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,On Track,25,23,92.00%,AL,MEDICAL,No,
AL-MD-518078,AL,MD,active,8/7/2024,10/10/2027,690,12,6dd2a6e7-af90-448e-aa27-35f21a8335b1,4740331542,Connie,Johnson,prov.md25@example.com,Anesthesiology,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,No Data,0,0,0.00%,AL,MEDICAL,No,
AL-MD-600642,AL,MD,active,4/20/2020,9/4/2028,1020,12,a6cff191-d89f-4dab-98e3-140fbdfa5cb5,5519457723,Morgan,Webster,prov.md6@example.com,Radiology,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,No Data,0,0,0.00%,AL,MEDICAL,No,
AL-MD-850274,AL,MD,expired,5/27/2021,9/21/2022,-1155,24,67a8cd93-340d-4e09-9f8f-066268642a5a,,Ryan,Allen,provider.md4@example.com,Radiology,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,Compliant,25,36,144.00%,AL,MEDICAL,No,
AL-MD-869869,AL,MD,expired,3/28/2023,1/9/2025,-314,36,2fea4733-2514-4832-8be1-787eb2e8a740,,Jade,Romero,provider.md25@example.com,Pediatrics,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,Compliant,25,34,136.00%,AL,MEDICAL,No,
ALDO10071,AL,DO,active,2/23/2020,6/17/2026,210,12,6c9bf46c-0d31-4ca2-a2bd-a8cb34ffd5fd,6273968943,Robert,Lane,prov.do9@example.com,Radiology,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,No Data,0,0,0.00%,AL,MEDICAL,No,
ALDO11482,AL,DO,active,7/22/2022,7/12/2027,600,12,f5b61032-7c43-4e58-9b86-2f45675319fd,2727160142,Kathleen,Rivera,prov.do15@example.com,Psychiatry,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,No Data,0,0,0.00%,AL,MEDICAL,No,
ALDO24416,AL,DO,inactive,3/6/2024,10/4/2028,1050,12,ee421a02-2db1-4d9e-a25c-ce69e1f021d4,4165621560,Katelyn,Luna,prov.do21@example.com,Urology,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,No Data,0,0,0.00%,AL,MEDICAL,No,
ALDO33123,AL,DO,active,8/8/2024,4/13/2027,510,12,8190db3e-04d8-4848-960c-ede8d550e3c6,6332313989,Jonathan,Bridges,prov.do17@example.com,Anesthesiology,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,No Data,0,0,0.00%,AL,MEDICAL,No,
ALDO55685,AL,DO,active,12/18/2020,10/15/2026,330,12,65782f59-d524-4d08-927a-cee6f393b8a0,3881953186,Dawn,Mendez,prov.do24@example.com,Ophthalmology,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,No Data,0,0,0.00%,AL,MEDICAL,No,
ALDO72577,AL,DO,inactive,9/11/2021,11/14/2026,360,12,1eff1e99-d34b-480f-b49f-d675c98e8909,8291031509,Laura,Herring,prov.do1@example.com,Urology,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,No Data,0,0,0.00%,AL,MEDICAL,No,
ALDO78491,AL,DO,expired,1/11/2021,12/9/2027,750,12,a6e3f7ad-9cfb-43f0-969e-1cfb19a8cce1,8980571910,Kathy,Vaughan,prov.do16@example.com,Family Medicine,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,No Data,0,0,0.00%,AL,MEDICAL,No,
ALDO83294,AL,DO,inactive,9/9/2021,2/7/2028,810,12,f48a91c5-98fa-4545-abd9-1a118d520732,8249656514,Christopher,Wagner,prov.do11@example.com,Neurology,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,No Data,0,0,0.00%,AL,MEDICAL,No,
ALMD32428,AL,MD,active,12/13/2021,10/4/2028,1050,12,699b9650-db4c-45fe-b3b2-197a189be0b6,4593839774,Chelsea,Miles,prov.md19@example.com,Orthopedics,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,No Data,0,0,0.00%,AL,MEDICAL,No,
ALMD57379,AL,MD,expired,8/9/2024,12/19/2025,30,12,55e1600c-cc6c-4b23-9808-621d9007f957,4925985880,Kyle,Anderson,prov.md3@example.com,Family Medicine,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,No Data,0,0,0.00%,AL,MEDICAL,No,
ALMD69999,AL,MD,active,10/14/2021,4/13/2027,510,12,1b2754c8-f9be-40af-87d8-1c9b5ea44258,6833188865,Shirley,Cameron,prov.md7@example.com,Orthopedics,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,No Data,0,0,0.00%,AL,MEDICAL,No,
ALMD75217,AL,MD,expired,10/18/2024,10/10/2027,690,12,d6b2acd1-1527-459d-880d-9d5cf1549c44,2056834210,Cindy,Castro,prov.md12@example.com,Dermatology,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,No Data,0,0,0.00%,AL,MEDICAL,No,
ALMD84334,AL,MD,active,1/27/2022,7/6/2028,960,12,6f5c342b-d3f0-4d06-96ba-4adb79528fed,7985248328,Lisa,Hernandez,prov.md14@example.com,Obstetrics and Gynecology,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,No Data,0,0,0.00%,AL,MEDICAL,No,
DO372919,AL,DO,active,8/24/2021,11/14/2026,360,12,9b323a4b-7dba-473c-a06b-ae4f422f519b,9267002610,Brian,Valenzuela,prov.do8@example.com,Radiology,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,No Data,0,0,0.00%,AL,MEDICAL,No,
DO828743,AL,DO,active,11/27/2022,12/19/2025,30,12,8495a3ca-7b4e-40f1-857e-f1f031bae25c,2878302583,Mary,Williams,prov.do26@example.com,Ophthalmology,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,No Data,0,0,0.00%,AL,MEDICAL,No,
DO948808,AL,DO,active,5/19/2024,8/11/2027,630,12,a6e74de8-bb66-49cd-bd25-5c4d6204e7ce,3959395314,Travis,Warren,prov.do13@example.com,Radiology,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,No Data,0,0,0.00%,AL,MEDICAL,No,
MD441234,AL,MD,active,9/22/2020,12/9/2027,750,12,cf744110-c233-4708-8fac-f827cbcd3ea2,7700207593,John,Adams,prov.md10@example.com,Cardiology,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,No Data,0,0,0.00%,AL,MEDICAL,No,
MD612672,AL,MD,active,11/13/2022,12/14/2026,390,12,378ff3f0-8aff-4f36-8e30-b84dfa14ca33,7075058915,Nicole,Greene,prov.md5@example.com,Psychiatry,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,No Data,0,0,0.00%,AL,MEDICAL,No,
MD773028,AL,MD,active,11/1/2024,10/4/2028,1050,12,edc52402-e3ad-4bd1-a9f4-a95d8eb535f6,9051480099,Zachary,Dixon,prov.md23@example.com,Gastroenterology,provider,25,12,25,,2,0,0,PROFESSIONAL_BOUNDARIES:1.0hrs,No Data,0,0,0.00%,AL,MEDICAL,No,
AR-DO-234370,AR,DO,active,7/30/2024,8/11/2027,630,12,8190db3e-04d8-4848-960c-ede8d550e3c6,6332313989,Jonathan,Bridges,prov.do17@example.com,Anesthesiology,provider,,,,,0,0,0,,No Data,0,0,0.00%,,,No,
AR-DO-459035,AR,DO,active,12/22/2021,10/10/2027,690,12,a6e74de8-bb66-49cd-bd25-5c4d6204e7ce,3959395314,Travis,Warren,prov.do13@example.com,Radiology,provider,,,,,0,0,0,,No Data,0,0,0.00%,,,No,
AR-DO-893905,AR,DO,expired,2/25/2021,3/31/2022,-1329,24,1a386033-07cb-435d-b31f-342f0bb57ab2,,Brendan,Hodges,provider.do48@example.com,Surgery,provider,,,,,0,0,0,,No Requirements,0,41,100.00%,,,No,
AR-DO-988273,AR,DO,active,9/24/2022,2/7/2028,810,12,f48a91c5-98fa-4545-abd9-1a118d520732,8249656514,Christopher,Wagner,prov.do11@example.com,Neurology,provider,,,,,0,0,0,,No Data,0,0,0.00%,,,No,
AR-MD-189505,AR,MD,expired,1/11/2023,8/8/2024,-468,24,462444da-2215-417c-afa1-bdaf116ca171,,Brandy,Montgomery,provider.md50@example.com,Obstetrics and Gynecology,provider,,,,,0,0,0,,No Requirements,0,14,100.00%,,,No,
AR-MD-194914,AR,MD,inactive,11/19/2020,7/12/2027,600,12,699b9650-db4c-45fe-b3b2-197a189be0b6,4593839774,Chelsea,Miles,prov.md19@example.com,Orthopedics,provider,,,,,0,0,0,,No Data,0,0,0.00%,,,No,
AR-MD-454200,AR,MD,active,8/12/2020,1/13/2027,420,12,bf89567f-e7ec-4f88-9962-76df691e69f6,3165108795,Thomas,Cox,prov.md34@example.com,Internal Medicine,provider,,,,,0,0,0,,No Data,0,0,0.00%,,,No,
AR-MD-474244,AR,MD,expired,8/29/2022,11/7/2023,-743,36,c06d727a-3428-4007-b8ed-2fec8841d7ef,,Timothy,Erickson,provider.md46@example.com,Obstetrics and Gynecology,provider,,,,,0,0,0,,No Requirements,0,34,100.00%,,,No,
AR-MD-757680,AR,MD,expired,2/21/2023,12/7/2024,-347,36,f12566c9-95e2-4c1e-b419-958a734688a2,,Joyce,Smith,provider.md47@example.com,Pediatrics,provider,,,,,0,0,0,,No Requirements,0,27,100.00%,,,No,
AR-MD-962152,AR,MD,expired,12/15/2023,1/26/2025,-297,12,48fdafa6-248e-46eb-8755-44e607f4e5ad,,Jacob,Price,provider.md49@example.com,Ophthalmology,provider,,,,,0,0,0,,No Requirements,0,19,100.00%,,,No,
ARDO39697,AR,DO,inactive,4/15/2022,12/19/2025,30,12,a6e3f7ad-9cfb-43f0-969e-1cfb19a8cce1,8980571910,Kathy,Vaughan,prov.do16@example.com,Family Medicine,provider,,,,,0,0,0,,No Data,0,0,0.00%,,,No,
ARDO63723,AR,DO,active,11/1/2023,7/12/2027,600,12,f5b61032-7c43-4e58-9b86-2f45675319fd,2727160142,Kathleen,Rivera,prov.do15@example.com,Psychiatry,provider,,,,,0,0,0,,No Data,0,0,0.00%,,,No,
ARDO87635,AR,DO,active,10/25/2024,8/11/2027,630,12,8495a3ca-7b4e-40f1-857e-f1f031bae25c,2878302583,Mary,Williams,prov.do26@example.com,Ophthalmology,provider,,,,,0,0,0,,No Data,0,0,0.00%,,,No,
ARMD25990,AR,MD,active,1/1/2023,10/15/2026,330,12,0ad23beb-9aaa-4c4e-bc47-d4a2c1751e18,5480186396,Joe,Parker,prov.md37@example.com,Pediatrics,provider,,,,,0,0,0,,No Data,0,0,0.00%,,,No,
MD395119,AR,MD,expired,4/5/2020,10/4/2028,1050,12,6f5c342b-d3f0-4d06-96ba-4adb79528fed,7985248328,Lisa,Hernandez,prov.md14@example.com,Obstetrics and Gynecology,provider,,,,,0,0,0,,No Data,0,0,0.00%,,,No,
MD599775,AR,MD,suspended,7/1/2021,1/8/2028,780,12,e940214d-542a-4f06-bf6e-0c55250cb610,1259369420,Jonathan,Taylor,prov.md40@example.com,Gastroenterology,provider,,,,,0,0,0,,No Data,0,0,0.00%,,,No,
MD664667,AR,MD,active,2/16/2020,7/6/2028,960,12,9db194fb-abd5-45eb-9b37-ef8a067571be,4790960701,Kevin,Lee,prov.md22@example.com,Obstetrics and Gynecology,provider,,,,,0,0,0,,No Data,0,0,0.00%,,,No,
MD843501,AR,MD,active,1/31/2021,7/12/2027,600,12,d6b2acd1-1527-459d-880d-9d5cf1549c44,2056834210,Cindy,Castro,prov.md12@example.com,Dermatology,provider,,,,,0,0,0,,No Data,0,0,0.00%,,,No,
MD853879,AR,MD,active,6/4/2022,3/14/2027,480,12,1b95c543-bae1-4ae6-b55d-58a2daeafb54,4548152315,Erica,Brown,prov.md20@example.com,Pediatrics,provider,,,,,0,0,0,,No Data,0,0,0.00%,,,No,
AZ-DO-508146,AZ,DO,expired,4/26/2023,4/26/2024,-572,12,3d43ebb2-8e33-463d-bd31-abafd7b9eb1d,,Kayla,Mcfarland,provider.do28@example.com,Obstetrics and Gynecology,provider,40,24,40,,6,0,0,,On Track,40,37,92.50%,AZ-M,MEDICAL,No,
AZ-DO-555013,AZ,DO,expired,12/8/2020,9/10/2022,-1166,24,d3b08bd8-ec8e-4daa-965e-dca3dfc7ba53,,Pamela,Garcia,provider.do12@example.com,Neurology,provider,40,24,40,,6,0,0,,On Track,40,32,80.00%,AZ-M,MEDICAL,No,
AZ-DO-562029,AZ,DO,expired,3/22/2023,7/1/2024,-506,36,016be12d-bcac-42db-81b1-fe55e64f7658,,Mary,Williams,provider.do33@example.com,Cardiology,provider,40,24,40,,6,0,0,,Compliant,40,40,100.00%,AZ-M,MEDICAL,No,
AZ-DO-591696,AZ,DO,expired,2/21/2022,12/14/2023,-706,24,cb6c86f6-89d4-4ea1-adc4-f98858221bab,,Megan,Dunn,provider.do10@example.com,Ophthalmology,provider,40,24,40,,6,0,0,,Behind,40,28,70.00%,AZ-M,MEDICAL,No,
AZ-DO-653676,AZ,DO,expired,1/20/2021,12/19/2025,30,24,a6e3f7ad-9cfb-43f0-969e-1cfb19a8cce1,8980571910,Kathy,Vaughan,prov.do16@example.com,Family Medicine,provider,40,24,40,,6,0,0,,No Data,0,0,0.00%,AZ-M,MEDICAL,No,
AZ-DO-679692,AZ,DO,expired,8/5/2024,9/22/2025,-58,12,b7351071-c649-4c6c-8869-4b18e7945ec8,,Denise,Martinez,provider.do26@example.com,Anesthesiology,provider,40,24,40,,6,0,0,,At Risk,40,6,15.00%,AZ-M,MEDICAL,No,
AZ-DO-712288,AZ,DO,expired,8/8/2022,10/18/2023,-763,24,f0dd9831-8c8e-433b-bbe2-fd812de10ee4,,Steven,Phelps,provider.do51@example.com,Urology,provider,40,24,40,,6,0,0,,At Risk,40,15,37.50%,AZ-M,MEDICAL,No,
AZ-DO-730743,AZ,DO,expired,11/25/2023,4/13/2025,-220,36,37b19285-3d5f-4969-890b-6cc2444ace8b,,Patricia,Johnson,provider.do9@example.com,Anesthesiology,provider,40,24,40,,6,0,0,,On Track,40,30,75.00%,AZ-M,MEDICAL,No,
AZ-DO-742736,AZ,DO,active,7/29/2021,10/4/2028,1050,24,f5b61032-7c43-4e58-9b86-2f45675319fd,2727160142,Kathleen,Rivera,prov.do15@example.com,Psychiatry,provider,40,24,40,,6,0,0,,No Data,0,0,0.00%,AZ-M,MEDICAL,No,
AZ-DO-756740,AZ,DO,expired,10/9/2023,6/17/2025,-155,24,05873455-c959-449e-8cb0-aa2f1219a4a7,,Trevor,Ross,provider.do34@example.com,Orthopedics,provider,40,24,40,,6,0,0,,On Track,40,34,85.00%,AZ-M,MEDICAL,No,
AZ-DO-857062,AZ,DO,active,9/29/2021,11/9/2027,720,24,8190db3e-04d8-4848-960c-ede8d550e3c6,6332313989,Jonathan,Bridges,prov.do17@example.com,Anesthesiology,provider,40,24,40,,6,0,0,,No Data,0,0,0.00%,AZ-M,MEDICAL,No,
AZ-DO-952716,AZ,DO,expired,12/3/2022,5/2/2024,-566,12,9793273e-dc91-450b-9c19-498e35d88ce0,,Rebecca,Harris,provider.do31@example.com,Gastroenterology,provider,40,24,40,,6,0,0,,Behind,40,24,60.00%,AZ-M,MEDICAL,No,
AZ-DO-993099,AZ,DO,expired,1/2/2021,7/3/2022,-1235,24,fb4c4638-1b32-471b-a35d-49f535c0185e,,Michael,Khan,provider.do54@example.com,Cardiology,provider,40,24,40,,6,0,0,,Behind,40,23,57.50%,AZ-M,MEDICAL,No,
